Gender,Age,Time,Event,Year
F,25,27.23,e3,2017
F,19,27.44,e3,2017
M,18,27.49,e3,2017
M,15,27.53,e3,2017
F,29,28.01,e3,2017
F,14,28.27,e3,2017
M,32,28.30,e3,2017
F,23,28.34,e3,2017
F,25,28.49,e3,2017
M,20,28.58,e3,2017
M,14,28.58,e3,2017
M,18,29.24,e3,2017
M,15,29.30,e3,2017
M,18,29.53,e3,2017
M,17,29.55,e3,2017
M,14,30.03,e3,2017
F,14,30.11,e3,2017
F,15,30.23,e3,2017
M,27,30.47,e3,2017
M,21,30.52,e3,2017
F,36,31.02,e3,2017
F,16,31.06,e3,2017
F,28,31.12,e3,2017
F,15,31.34,e3,2017
F,17,31.37,e3,2017
M,15,31.42,e3,2017
F,14,31.45,e3,2017
M,30,31.48,e3,2017
F,15,31.51,e3,2017
F,24,31.55,e3,2017
M,22,32.08,e3,2017
F,17,32.10,e3,2017
M,28,32.13,e3,2017
M,32,32.19,e3,2017
M,28,32.28,e3,2017
F,25,32.32,e3,2017
F,25,32.34,e3,2017
M,14,32.44,e3,2017
M,17,32.56,e3,2017
M,23,33.11,e3,2017
F,25,33.40,e3,2017
M,20,33.56,e3,2017
M,14,34.23,e3,2017
M,22,34.30,e3,2017
M,18,34.33,e3,2017
F,22,34.46,e3,2017
F,15,34.51,e3,2017
M,27,34.55,e3,2017
M,28,34.59,e3,2017
F,16,35.05,e3,2017
F,28,35.08,e3,2017
F,15,35.13,e3,2017
F,28,35.32,e3,2017
M,23,35.37,e3,2017
M,22,35.41,e3,2017
F,21,35.55,e3,2017
M,24,36.02,e3,2017
F,22,36.05,e3,2017
M,14,36.42,e3,2017
F,16,37.01,e3,2017
M,14,37.04,e3,2017
M,12,37.08,e3,2017
F,27,37.29,e3,2017
F,15,37.34,e3,2017
M,29,37.51,e3,2017
M,30,37.54,e3,2017
M,29,37.57,e3,2017
M,17,38.03,e3,2017
F,29,38.09,e3,2017
F,27,38.14,e3,2017
M,18,38.23,e3,2017
F,20,38.37,e3,2017
M,13,38.43,e3,2017
M,24,38.49,e3,2017
F,15,38.55,e3,2017
M,15,39.04,e3,2017
F,19,39.10,e3,2017
F,16,39.16,e3,2017
F,20,39.18,e3,2017
M,20,39.20,e3,2017
M,15,39.28,e3,2017
M,27,39.33,e3,2017
M,30,39.47,e3,2017
M,25,39.52,e3,2017
F,17,40.00,e3,2017
M,23,40.27,e3,2017
F,14,40.36,e3,2017
F,44,40.39,e3,2017
F,14,40.44,e3,2017
M,23,40.54,e3,2017
M,25,41.00,e3,2017
M,32,41.07,e3,2017
M,28,41.15,e3,2017
M,26,41.41,e3,2017
F,14,41.50,e3,2017
M,25,42.05,e3,2017
M,15,42.09,e3,2017
F,17,42.11,e3,2017
F,16,42.19,e3,2017
M,28,42.22,e3,2017
M,26,42.31,e3,2017
F,14,43.09,e3,2017
M,40,46.04,e3,2017
F,18,46.07,e3,2017
M,23,47.29,e3,2017
M,18,47.47,e3,2017
F,23,48.39,e3,2017
F,15,48.45,e3,2017
F,26,48.59,e3,2017
M,20,50.01,e3,2017
F,23,50.06,e3,2017
M,27,50.33,e3,2017
M,18,50.54,e3,2017
F,21,52.10,e3,2017
F,19,53.31,e3,2017
F,20,54.32,e3,2017
M,17,55.38,e3,2017
F,17,55.41,e3,2017
M,25,56.10,e3,2017
M,12,24.05,e2,2016
M,13,24.41,e2,2016
M,13,24.59,e2,2016
M,47,25.23,e2,2016
M,44,25.58,e2,2016
M,46,26.08,e2,2016
M,47,26.14,e2,2016
M,51,26.57,e2,2016
M,11,26.59,e2,2016
M,39,27.11,e2,2016
M,11,27.35,e2,2016
M,13,27.57,e2,2016
M,67,28.02,e2,2016
M,38,28.12,e2,2016
M,42,28.25,e2,2016
M,42,28.39,e2,2016
M,52,28.51,e2,2016
M,55,29.13,e2,2016
M,10,29.16,e2,2016
M,11,29.33,e2,2016
M,10,29.35,e2,2016
M,12,30.46,e2,2016
M,43,30.47,e2,2016
M,12,30.47,e2,2016
M,63,31.23,e2,2016
M,33,31.45,e2,2016
M,61,31.52,e2,2016
M,43,31.54,e2,2016
M,41,31.56,e2,2016
M,12,33.29,e2,2016
M,13,33.38,e2,2016
M,10,33.51,e2,2016
M,55,34.10,e2,2016
M,13,34.14,e2,2016
M,57,34.23,e2,2016
M,57,34.47,e2,2016
M,31,34.51,e2,2016
M,9,35.09,e2,2016
M,31,35.33,e2,2016
M,43,35.35,e2,2016
M,66,35.49,e2,2016
M,58,36.08,e2,2016
M,31,36.19,e2,2016
M,13,36.22,e2,2016
M,60,36.27,e2,2016
M,31,36.33,e2,2016
M,54,36.35,e2,2016
M,32,36.38,e2,2016
M,36,36.43,e2,2016
M,43,36.49,e2,2016
M,38,36.53,e2,2016
M,42,37.24,e2,2016
M,44,37.32,e2,2016
M,12,37.40,e2,2016
M,10,37.51,e2,2016
M,45,38.00,e2,2016
M,59,38.28,e2,2016
M,33,38.31,e2,2016
M,33,38.44,e2,2016
M,34,38.55,e2,2016
M,35,39.10,e2,2016
M,47,39.38,e2,2016
M,40,39.50,e2,2016
M,48,40.04,e2,2016
M,8,39.55,e2,2016
M,55,40.15,e2,2016
M,59,40.27,e2,2016
M,57,40.57,e2,2016
M,46,41.11,e2,2016
M,50,41.12,e2,2016
M,6,41.24,e2,2016
M,33,41.42,e2,2016
M,46,41.52,e2,2016
M,11,42.25,e2,2016
M,54,43.19,e2,2016
M,47,44.04,e2,2016
M,10,44.10,e2,2016
M,47,44.17,e2,2016
M,57,45.25,e2,2016
M,44,47.08,e2,2016
M,55,48.02,e2,2016
M,45,48.07,e2,2016
M,33,49.15,e2,2016
M,39,51.11,e2,2016
M,55,52.36,e2,2016
M,62,54.15,e2,2016
M,48,25.04,e2,2017
M,48,25.24,e2,2017
M,38,25.46,e2,2017
M,44,26.47,e2,2017
M,40,27.06,e2,2017
M,34,27.16,e2,2017
M,40,27.18,e2,2017
M,32,27.36,e2,2017
M,52,27.42,e2,2017
M,13,28.08,e2,2017
M,13,28.14,e2,2017
M,11,29.15,e2,2017
M,13,29.44,e2,2017
M,43,29.50,e2,2017
M,56,30.23,e2,2017
M,43,30.25,e2,2017
M,39,30.36,e2,2017
M,53,30.40,e2,2017
M,26,31.26,e2,2017
M,46,32.09,e2,2017
M,44,32.22,e2,2017
M,11,32.26,e2,2017
M,34,32.32,e2,2017
M,45,32.40,e2,2017
M,13,32.53,e2,2017
M,34,33.15,e2,2017
M,32,33.20,e2,2017
M,62,33.36,e2,2017
M,12,33.40,e2,2017
M,11,33.45,e2,2017
M,35,33.50,e2,2017
M,44,34.04,e2,2017
M,31,34.08,e2,2017
M,53,34.11,e2,2017
M,12,34.32,e2,2017
M,53,35.08,e2,2017
M,37,35.12,e2,2017
M,40,35.32,e2,2017
M,26,35.35,e2,2017
M,12,35.38,e2,2017
M,44,35.49,e2,2017
M,58,35.57,e2,2017
M,48,35.59,e2,2017
M,55,36.02,e2,2017
M,10,36.05,e2,2017
M,45,36.08,e2,2017
M,42,36.10,e2,2017
M,34,36.15,e2,2017
M,43,36.17,e2,2017
M,31,36.21,e2,2017
M,35,36.28,e2,2017
M,35,36.32,e2,2017
M,67,36.34,e2,2017
M,49,36.39,e2,2017
M,30,36.46,e2,2017
M,32,37.18,e2,2017
M,31,37.30,e2,2017
M,47,37.56,e2,2017
M,10,38.03,e2,2017
M,32,38.10,e2,2017
F,41,38.14,e2,2017
M,12,38.35,e2,2017
M,58,38.38,e2,2017
M,47,38.40,e2,2017
M,53,38.44,e2,2017
M,41,39.06,e2,2017
M,51,39.24,e2,2017
M,34,39.28,e2,2017
M,64,39.38,e2,2017
M,38,39.58,e2,2017
M,53,41.29,e2,2017
M,10,41.37,e2,2017
M,11,41.41,e2,2017
F,42,41.51,e2,2017
M,58,42.19,e2,2017
M,51,42.27,e2,2017
M,27,42.40,e2,2017
M,63,43.03,e2,2017
M,35,43.27,e2,2017
M,50,43.30,e2,2017
M,60,44.40,e2,2017
M,49,45.16,e2,2017
M,38,45.36,e2,2017
M,13,48.54,e2,2017
M,62,49.06,e2,2017
M,40,49.42,e2,2017
M,41,50.47,e2,2017
M,48,54.28,e2,2017
M,49,25.01,e2,2018
M,47,26.08,e2,2018
M,34,26.15,e2,2018
M,63,26.27,e2,2018
M,37,27.19,e2,2018
